capacidade_estadio,publico_estadio,time_casa,gols_casa,posse_casa,tentativas_casa,chutes_fora_casa,defesa_casa,escanteios_casa,cobrancas_falta_casa,faltas_cometidas_casa,impedimentos_casa,time_fora,gols_fora,posse_fora,tentativas_fora,chutes_fora_fora,defesa_fora,escanteios_fora,cobrancas_falta_fora,faltas_cometidas_fora,impedimentos_fora,ano,fase
72.039,63.077,São Paulo FC,1,49,8,4,4,2,14,17,0,CR Flamengo,1,51,13,6,2,4,17,14,3,2023,final - jogo de volta
78.838,67.350,CR Flamengo,0,51,6,3,1,3,15,18,0,São Paulo FC,1,49,5,1,1,4,18,15,2,2023,final - jogo de ida
72.039,62.093,São Paulo FC,2,43,19,6,1,7,10,7,2,SC Corinthians,0,57,10,5,5,3,6,10,1,2023,semifinais - Jogos de volta
78.838,0,CR Flamengo,1,54,12,0,6,6,16,16,0,Grêmio FBPA,0,46,12,5,2,6,15,18,4,2023,semifinais - Jogos de volta
49.205,46.965,SC Corinthians,2,41,5,1,2,4,12,15,0,São Paulo FC,1,59,15,11,2,3,15,13,1,2023,Semifinais - Jogos de ida
60.540,52.932,Grêmio FBPA,0,35,11,7,5,6,9,11,1,CR Flamengo,2,65,14,6,1,3,10,10,1,2023,Semifinais - Jogos de ida
60.540,35.437,Grêmio FBPA,5,57,22,6,3,8,8,13,0,EC Bahia,4pen.,43,15,7,10,9,13,9,0,2023,quartas de final - Jogos de volta
42.372,37.842,Athletico Paranaense,0,52,27,16,1,11,9,23,2,CR Flamengo,2,48,8,5,5,3,23,9,2,2023,quartas de final - Jogos de volta
43.713,41.451,SE Palmeiras,1,51,15,6,2,12,19,12,1,São Paulo FC,2,49,8,1,5,2,12,19,1,2023,quartas de final - Jogos de volta
49.205,45.004,SC Corinthians,6,60,21,10,5,8,11,15,2,América Mineiro,3pen.,40,16,4,5,8,14,12,1,2023,quartas de final - Jogos de volta
47.364,38.153,EC Bahia,1,45,12,4,2,3,14,13,1,Grêmio FBPA,1,55,11,3,3,5,13,15,1,2023,Quartas de final - Jogos de ida
72.039,54.593,São Paulo FC,1,57,18,11,1,8,11,16,3,SE Palmeiras,0,43,8,3,3,7,16,12,3,2023,Quartas de final - Jogos de ida
25.000,7.141,América Mineiro,1,35,15,8,10,5,6,6,4,SC Corinthians,0,65,18,5,4,4,6,6,0,2023,Quartas de final - Jogos de ida
,60.996,CR Flamengo,2,75,12,3,1,4,19,14,2,Athletico Paranaense,1,25,8,4,2,5,14,23,1,2023,Quartas de final - Jogos de ida
60.326,43.271,Fortaleza EC,1,55,20,7,0,8,22,19,1,SE Palmeiras,0,45,4,3,6,3,19,22,3,2023,Oitavas de final - Jogos de volta
47.364,34.980,EC Bahia,5,45,13,4,0,4,11,19,3,Santos FC,4pen.,55,9,6,4,8,19,11,4,2023,Oitavas de final - Jogos de volta
61.927,41.090,Cruzeiro EC,0,75,24,7,2,14,20,9,0,Grêmio FBPA,1,25,5,2,6,4,8,21,5,2023,Oitavas de final - Jogos de volta
49.205,38.235,SC Corinthians,5,52,16,7,5,4,19,7,2,Atlético Mineiro,1pen.,48,16,4,3,4,7,19,1,2023,Oitavas de final - Jogos de volta
56.000,36.560,SC Internacional,7,55,11,3,3,2,11,10,0,América Mineiro,6pen.,45,13,7,2,6,10,11,2,2023,Oitavas de final - Jogos de volta
46.931,37.682,Botafogo FR,3,62,9,3,0,2,23,18,2,Athletico Paranaense,4pen.,38,5,3,4,2,18,23,4,2023,Oitavas de final - Jogos de volta
72.039,49.752,São Paulo FC,6,60,11,4,4,6,12,10,3,Sport Recife,6pen.,40,10,3,3,10,8,12,0,2023,Oitavas de final - Jogos de volta
78.838,69.978,CR Flamengo,2,29,12,4,2,5,7,10,5,Fluminense FC,0,71,9,4,3,10,10,8,2,2023,Oitavas de final - Jogos de volta
82.238,54.362,Fluminense FC,0,45,7,2,6,6,22,5,0,CR Flamengo,0,55,18,8,3,8,5,22,2,2023,Oitavas de final - Jogos de ida
20.120,10.995,Santos FC,0,61,5,3,3,5,16,14,2,EC Bahia,0,39,7,3,2,4,14,16,2,2023,Oitavas de final - Jogos de ida
43.713,32.254,SE Palmeiras,3,55,18,6,5,5,14,13,2,Fortaleza EC,0,45,12,4,3,4,10,14,2,2023,Oitavas de final - Jogos de ida
60.540,29.665,Grêmio FBPA,1,58,13,5,5,6,10,7,2,Cruzeiro EC,1,42,16,6,3,5,7,11,0,2023,Oitavas de final - Jogos de ida
35.000,22.889,Sport Recife,0,28,9,5,3,6,13,5,1,São Paulo FC,2,72,20,5,4,9,4,16,1,2023,Oitavas de final - Jogos de ida
57.483,48.112,Atlético Mineiro,2,75,21,9,0,5,12,12,0,SC Corinthians,0,25,3,1,6,2,11,12,2,2023,Oitavas de final - Jogos de ida
25.000,1.644,América Mineiro,2,37,12,3,5,4,14,18,1,SC Internacional,0,63,6,1,2,3,17,14,1,2023,Oitavas de final - Jogos de ida
42.372,23.243,Athletico Paranaense,3,54,23,13,2,8,13,12,1,Botafogo FR,2,46,6,2,3,3,12,13,1,2023,Oitavas de final - Jogos de ida
